lr,n_epochs,batch_size,beta,nr,nt,AE,Val,save,load
5.00E-04,500,128,5.00E-04,20,10000,CNN-VAE,1,1,0
1.00E-04,500,128,0,15,10000,C-CNN-AE,1,1,0
5.00E-04,500,128,5.00E-04,20,10000,CNN-VAE,2,0,1
1.00E-04,500,128,0,15,10000,C-CNN-AE,2,0,1
