lr,n_epochs,batch_size,beta,nr,nt,AE,nc,flag_control_dyn,opt,dyn,lr_d,n_epochs_d,batch_size_d,d,np,lstm_units,dense_units,units,dropout,loss
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[16,16]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[64,16]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],[16],0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],[32],0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[16,16]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[32,32]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[64,64]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],[128],0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[128,128]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,5,20,[],[],"[128,128,128]",0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,20,1,[],[],[16],0.3,Hubert
1.00E-05,500,64,0,20,10000,C-CNN-AE,3,1,Adam,NARX,1.00E-02,5000,10000,20,1,[],[],[32],0.3,Hubert
